iter	Passed	Remaining
844	41455	6426
845	41500	6377
846	41549	6328
847	41594	6278
848	41644	6229
849	41692	6180
850	41738	6130
851	41796	6083
852	41841	6033
853	41892	5984
854	41935	5934
855	41985	5885
856	42031	5836
857	42076	5786
858	42121	5737
859	42169	5688
860	42215	5638
861	42262	5589
862	42307	5539
863	42352	5490
864	42399	5440
865	42446	5391
866	42495	5342
867	42547	5293
868	42595	5244
869	42642	5195
870	42689	5146
871	42735	5096
872	42784	5047
873	42832	4998
874	42881	4949
875	42934	4901
876	42980	4851
877	43027	4802
878	43076	4753
879	43121	4704
880	43165	4654
881	43211	4605
882	43257	4555
883	43304	4506
884	43349	4457
885	43395	4408
886	43443	4359
887	43486	4309
888	43534	4260
889	43586	4211
890	43635	4162
891	43682	4113
892	43725	4064
893	43770	4014
894	43814	3965
895	43863	3916
896	43913	3867
897	43960	3818
898	44004	3769
899	44056	3720
900	44102	3671
901	44149	3621
902	44195	3572
903	44238	3523
904	44283	3474
905	44335	3425
906	44381	3376
907	44429	3327
908	44494	3279
909	44538	3230
910	44588	3181
911	44633	3132
912	44679	3083
913	44723	3033
914	44773	2984
915	44823	2936
916	44870	2886
917	44914	2837
918	44960	2788
919	45006	2739
920	45054	2690
921	45098	2641
922	45143	2592
923	45192	2543
924	45240	2494
925	45290	2445
926	45335	2396
927	45379	2347
928	45430	2298
929	45475	2249
930	45518	2200
931	45567	2151
932	45613	2102
933	45659	2053
934	45706	2004
935	45751	1955
936	45800	1906
937	45848	1857
938	45898	1808
939	45945	1759
940	45993	1710
941	46040	1661
942	46086	1612
943	46134	1563
944	46184	1515
945	46228	1466
946	46269	1416
947	46313	1367
948	46359	1318
949	46416	1270
950	46472	1221
951	46521	1172
952	46571	1123
953	46622	1075
954	46690	1026
955	46750	978
956	46809	929
957	46869	880
958	46919	831
959	46965	782
960	47009	733
961	47057	684
962	47106	635
963	47155	586
964	47203	538
965	47250	489
966	47299	440
967	47349	391
968	47408	342
969	47463	293
970	47513	244
971	47558	195
972	47606	146
973	47650	97
974	47698	48
975	47743	0
